2015-07-29 17:28:35 : Time=2748 X=-10514 Y=15231
2015-07-29 17:28:36 : Time=3675 X=-10762.37109375 Y=15030.31640625
2015-07-29 17:28:37 : Time=4739 X=-11106.5546875 Y=14883.7109375
2015-07-29 17:28:38 : Time=5772 X=-11454.1669921875 Y=14782.2783203125
2015-07-29 17:28:39 : Time=6791 X=-11337.4990234375 Y=14503.6474609375
2015-07-29 17:28:40 : Time=7809 X=-11064.6015625 Y=14388.4248046875
2015-07-29 17:28:41 : Time=8851 X=-10835.470703125 Y=14066.8046875
2015-07-29 17:28:42 : Time=9885 X=-10841.9150390625 Y=14072.9296875
2015-07-29 17:28:43 : Time=10888 X=-10776.12890625 Y=13959.400390625
2015-07-29 17:28:44 : Time=11912 X=-10739.9462890625 Y=13896.958984375
2015-07-29 17:28:45 : Time=12911 X=-10739.9462890625 Y=13896.958984375
2015-07-29 17:28:46 : Time=13937 X=-10739.9462890625 Y=13896.958984375
2015-07-29 17:28:47 : Time=14960 X=-10739.9462890625 Y=13896.958984375
2015-07-29 17:28:48 : Time=15961 X=-10704.9248046875 Y=13836.521484375
2015-07-29 17:28:50 : Time=16983 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:51 : Time=17977 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:52 : Time=18997 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:53 : Time=19989 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:54 : Time=20994 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:55 : Time=22013 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:56 : Time=23008 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:57 : Time=24031 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:58 : Time=25052 X=-10644.75 Y=13732.6748046875
2015-07-29 17:28:59 : Time=26048 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:00 : Time=27059 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:01 : Time=28061 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:02 : Time=29058 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:03 : Time=30092 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:04 : Time=31090 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:05 : Time=32090 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:06 : Time=33111 X=-10644.75 Y=13732.6748046875
2015-07-29 17:29:07 : Time=34127 X=-10750.0556640625 Y=13557.5126953125
2015-07-29 17:29:08 : Time=35141 X=-10772.67578125 Y=13330.64453125
2015-07-29 17:29:09 : Time=36149 X=-10772.67578125 Y=13330.64453125
2015-07-29 17:29:10 : Time=37148 X=-10772.6123046875 Y=13324.8564453125
2015-07-29 17:29:11 : Time=38144 X=-10975.7548828125 Y=12999.369140625
2015-07-29 17:29:12 : Time=39154 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:13 : Time=40160 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:14 : Time=41181 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:15 : Time=42196 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:16 : Time=43205 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:17 : Time=44213 X=-11122.7783203125 Y=12769.396484375
2015-07-29 17:29:18 : Time=45226 X=-11209.5263671875 Y=12591.0078125
2015-07-29 17:29:19 : Time=46230 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:20 : Time=47249 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:21 : Time=48249 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:22 : Time=49259 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:23 : Time=50287 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:24 : Time=51304 X=-11212.732421875 Y=12584.4130859375
2015-07-29 17:29:25 : Time=52317 X=-11260.3818359375 Y=12435.150390625
